building,x_axis_matrix,y_axis_matrix,x_m,y_m,nearest_x_axis,nearest_y_axis,max_abs_x_offset_m,max_abs_y_offset_m,axis_status,total_columns,S1,P1,P2,P3,P4,dimensions_by_floor
EDIFICIO_2,A,2,0.0,8.9,A,2,0.002,0.001,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_2,B,1,7.5,0.0,B,1,0.002,0.001,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_2,B,2,7.5,8.9,B,2,0.002,0.001,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_2,B,3,7.5,16.15,B,3,0.002,0.001,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_2,C,1,17.5,0.0,C,1,0.002,0.001,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_2,C,2,17.5,8.9,C,2,0.002,0.001,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_2,C,3,17.5,16.15,C,3,0.002,0.001,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_2,D/E,1,27.45,0.0,D/E,1,0.029,0.001,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_1,D/E,1,27.5,0.0,D/E,1,0.0,0.181,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_1,D/E,2,27.5,8.9,D/E,2,0.025,0.181,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_1,D/E,3,27.5,16.15,D/E,3,0.025,0.182,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_1,F,1,37.5,0.0,F,1,0.0,0.181,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_1,F,2,37.5,8.9,F,2,0.0,0.181,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_1,F,3,37.5,16.15,F,3,0.001,0.298,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_1,F,Y=20.45 near 3 +4.30m,37.5,20.45,F,3,0.0,4.302,OFF_AXIS_REFERENCE,2,0,1,1,0,0,"{""P1"": [""0.35x0.35""], ""P2"": [""0.35x0.35""]}"
EDIFICIO_1,X=45.00 near G -2.51m,3,45.0,16.35,G,3,2.51,0.182,OFF_AXIS_REFERENCE,3,1,1,1,0,0,"{""P1"": [""0.35x0.35""], ""P2"": [""0.35x0.35""], ""S1"": [""0.35x0.35""]}"
EDIFICIO_1,X=45.00 near G -2.51m,Y=20.45 near 3 +4.30m,45.0,20.45,G,3,2.51,4.302,OFF_AXIS_REFERENCE,2,0,1,1,0,0,"{""P1"": [""0.35x0.35""], ""P2"": [""0.35x0.35""]}"
EDIFICIO_1,G,1,47.5,0.0,G,1,0.0,0.182,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_1,G,2,47.5,8.9,G,2,0.0,0.181,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_1,G,3,47.5,16.15,G,3,0.001,0.298,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_1,G,Y=20.45 near 3 +4.30m,47.5,20.45,G,3,0.0,4.301,OFF_AXIS_REFERENCE,2,0,0,1,0,1,"{""P2"": [""0.35x0.35""], ""P4"": [""0.35x0.35""]}"
EDIFICIO_1,H,1,57.5,0.05,H,1,0.0,0.182,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_1,H,2,57.5,8.9,H,2,0.0,0.181,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_1,H,3,57.5,16.15,H,3,0.0,0.182,ON_AXIS,5,1,1,1,1,1,"{""P1"": [""0.70x0.70""], ""P2"": [""0.70x0.70""], ""P3"": [""0.70x0.70""], ""P4"": [""0.70x0.70""], ""S1"": [""0.70x0.70""]}"
EDIFICIO_1,H,Y=18.85 near 3 +2.69m,57.5,18.85,H,3,0.027,2.693,OFF_AXIS_REFERENCE,1,0,1,0,0,0,"{""P1"": [""0.35x0.35""]}"
EDIFICIO_1,H,Y=20.45 near 3 +4.30m,57.5,20.45,H,3,0.0,4.301,OFF_AXIS_REFERENCE,2,0,0,1,0,1,"{""P2"": [""0.35x0.35""], ""P4"": [""0.35x0.35""]}"
EDIFICIO_1,H,Y=26.20 near 3 +10.03m,57.5,26.2,H,3,0.027,10.026,OFF_AXIS_REFERENCE,1,0,1,0,0,0,"{""P1"": [""0.35x0.35""]}"
EDIFICIO_1,H',Y=18.90 near 3 +2.76m,61.95,18.9,H',3,0.0,2.762,OFF_AXIS_REFERENCE,1,0,1,0,0,0,"{""P1"": [""0.35x0.35""]}"
