step,axial_strain,axial_force_kN,converged
0,0.0,0.0,True
1,-1.590909090909091e-05,-290.49820255628055,True
2,-3.181818181818182e-05,-578.8260796993472,True
3,-4.772727272727273e-05,-864.9836314291696,True
4,-6.363636363636364e-05,-1148.9708577457782,True
5,-7.954545454545455e-05,-1430.7877586491645,True
6,-9.545454545454546e-05,-1710.4343341393455,True
7,-0.00011136363636363637,-1987.9105842162676,True
8,-0.00012727272727272728,-2263.2165088799925,True
9,-0.00014318181818181818,-2536.3521081304793,True
10,-0.00015909090909090907,-2807.317381967752,True
11,-0.00017499999999999997,-3076.112330391828,True
12,-0.00019090909090909087,-3342.7369534026757,True
13,-0.00020681818181818176,-3607.1912510002853,True
14,-0.00022272727272727266,-3869.475223184676,True
15,-0.00023863636363636356,-4129.588869955762,True
16,-0.00025454545454545445,-4387.532191313771,True
17,-0.00027045454545454535,-4643.305187258497,True
18,-0.00028636363636363625,-4896.907857789976,True
19,-0.00030227272727272714,-5148.340202908216,True
20,-0.00031818181818181804,-5397.602222613159,True
21,-0.00033409090909090894,-5644.693916905106,True
22,-0.00034999999999999983,-5889.615285783655,True
23,-0.00036590909090909073,-6132.366329249097,True
24,-0.0003818181818181816,-6372.947047301093,True
25,-0.0003977272727272725,-6611.35743994012,True
26,-0.0004136363636363634,-6847.597507165877,True
27,-0.0004295454545454543,-7081.66724897836,True
28,-0.0004454545454545452,-7313.5666653775925,True
29,-0.0004613636363636361,-7543.295756363512,True
30,-0.000477272727272727,-7770.854521936282,True
31,-0.000493181818181818,-7996.242962096048,True
32,-0.0005090909090909089,-8219.46107684225,True
33,-0.0005249999999999999,-8440.508866175494,True
34,-0.0005409090909090908,-8659.386330095484,True
35,-0.0005568181818181818,-8876.093468602228,True
36,-0.0005727272727272727,-9090.630281695698,True
37,-0.0005886363636363637,-9302.99676937596,True
38,-0.0006045454545454546,-9513.192931642947,True
39,-0.0006204545454545456,-9721.21876849667,True
40,-0.0006363636363636365,-9927.07427993715,True
41,-0.0006522727272727275,-10130.759465964577,True
42,-0.0006681818181818184,-10332.274326578725,True
43,-0.0006840909090909094,-10531.61886177964,True
44,-0.0007000000000000003,-10728.793071567312,True
45,-0.0007159090909090913,-10923.796955941832,True
46,-0.0007318181818181822,-11116.630514902941,True
47,-0.0007477272727272732,-11307.293748451146,True
48,-0.0007636363636363641,-11495.786656585733,True
49,-0.0007795454545454551,-11682.109239307374,True
50,-0.000795454545454546,-11866.261496615687,True
51,-0.000811363636363637,-12048.243428510834,True
52,-0.0008272727272727279,-12228.055034992653,True
53,-0.0008431818181818189,-12405.696316061574,True
54,-0.0008590909090909098,-12581.16727171698,True
55,-0.0008750000000000008,-12754.467901959151,True
56,-0.0008909090909090917,-12925.598206788109,True
57,-0.0009068181818181827,-13094.558186204053,True
58,-0.0009227272727272736,-13261.347840206672,True
59,-0.0009386363636363646,-13425.967168796018,True
60,-0.0009545454545454555,-13588.416171972163,True
61,-0.0009704545454545465,-13748.694849734997,True
62,-0.0009863636363636374,-13906.803202084553,True
63,-0.0010022727272727284,-14062.741229021089,True
64,-0.0010181818181818193,-14216.50893054407,True
65,-0.0010340909090909103,-14368.106306654046,True
66,-0.0010500000000000012,-14517.53335735099,True
67,-0.0010659090909090922,-14664.790082634405,True
68,-0.0010818181818181831,-14809.876482505017,True
69,-0.001097727272727274,-14952.79255696188,True
70,-0.001113636363636365,-15093.538306005996,True
71,-0.001129545454545456,-15232.113729636385,True
72,-0.001145454545454547,-15368.51882785382,True
73,-0.001161363636363638,-15502.75360065836,True
74,-0.0011772727272727288,-15634.818048049352,True
75,-0.0011931818181818198,-15764.712170026762,True
76,-0.0012090909090909107,-15892.435966591345,True
77,-0.0012250000000000017,-16017.989437742806,True
78,-0.0012409090909090926,-16141.372583480728,True
79,-0.0012568181818181836,-16262.585403805773,True
80,-0.0012727272727272745,-16381.627898717277,True
81,-0.0012886363636363655,-16498.500068215733,True
82,-0.0013045454545454564,-16613.201912301214,True
83,-0.0013204545454545474,-16725.733430973207,True
84,-0.0013363636363636384,-16836.094624231697,True
85,-0.0013522727272727293,-16944.28549207719,True
86,-0.0013681818181818203,-17050.30603450966,True
87,-0.0013840909090909112,-17154.156251528602,True
88,-0.0014000000000000022,-17255.83614313464,True
89,-0.001415909090909093,-17355.345709327128,True
90,-0.001431818181818184,-17452.684950106504,True
91,-0.001447727272727275,-17547.85386547312,True
92,-0.001463636363636366,-17640.852455426113,True
93,-0.001479545454545457,-17731.680719965498,True
94,-0.0014954545454545479,-17820.338659092,True
95,-0.0015113636363636388,-17906.826272805618,True
96,-0.0015272727272727298,-17991.14356110548,True
97,-0.0015431818181818207,-18073.29052399258,True
98,-0.0015590909090909117,-18153.26716146591,True
99,-0.0015750000000000026,-18231.073473526463,True
100,-0.0015909090909090936,-18306.70946017341,True
101,-0.0016068181818181845,-18380.17512140741,True
102,-0.0016227272727272755,-18451.4704572285,True
103,-0.0016386363636363664,-18520.59546763594,True
104,-0.0016545454545454574,-18587.55015263045,True
105,-0.0016704545454545483,-18652.33451221151,True
106,-0.0016863636363636393,-18714.948546379354,True
107,-0.0017022727272727302,-18775.39225513394,True
108,-0.0017181818181818212,-18833.66563847536,True
109,-0.0017340909090909121,-18889.768696403276,True
110,-0.001750000000000003,-18943.701428918303,True
111,-0.001765909090909094,-18995.463836020124,True
112,-0.001781818181818185,-19045.055917708833,True
113,-0.001797727272727276,-19092.477673983696,True
114,-0.0018136363636363669,-19137.72910484575,True
115,-0.0018295454545454578,-19180.810210294723,True
116,-0.0018454545454545488,-19221.720990330166,True
117,-0.0018613636363636397,-19260.461444952627,True
118,-0.0018772727272727307,-19297.03157416224,True
119,-0.0018931818181818216,-19331.431377957688,True
120,-0.0019090909090909126,-19363.66085634068,True
121,-0.0019250000000000035,-19393.720009310142,True
122,-0.0019409090909090945,-19421.608836866653,True
123,-0.0019568181818181854,-19447.32733900964,True
124,-0.001972727272727276,-19470.875515739048,True
125,-0.001988636363636367,-19492.253367056066,True
126,-0.0020045454545454576,-19469.973720094,True
127,-0.0020204545454545484,-19343.201024750928,True
128,-0.002036363636363639,-19216.428329408074,True
129,-0.00205227272727273,-19089.655634065057,True
130,-0.0020681818181818206,-18962.882938721446,True
131,-0.0020840909090909113,-18836.11024337851,True
132,-0.002100000000000002,-18709.337548035488,True
133,-0.0021159090909090928,-18563.822396519936,True
134,-0.0021318181818181835,-18418.307245004922,True
135,-0.0021477272727272742,-18272.792093489996,True
136,-0.002163636363636365,-18127.276941974425,True
137,-0.0021795454545454557,-17981.761790459386,True
138,-0.0021954545454545464,-17836.246638944536,True
139,-0.002211363636363637,-17690.73148742949,True
140,-0.002227272727272728,-17545.216335913887,True
141,-0.0022431818181818186,-17399.701184399008,True
142,-0.0022590909090909094,-17254.186032883958,True
143,-0.002275,-17108.670881368478,True
144,-0.002290909090909091,-16963.155729853435,True
145,-0.0023068181818181816,-16817.640578338433,True
146,-0.0023227272727272723,-16672.125426822964,True
147,-0.002338636363636363,-16526.610275307896,True
148,-0.0023545454545454538,-16381.09512379304,True
149,-0.0023704545454545445,-16235.579972277917,True
150,-0.0023863636363636353,-16090.06482076238,True
151,-0.002402272727272726,-15944.549669247523,True
152,-0.0024181818181818167,-15799.034517732416,True
153,-0.0024340909090909075,-15653.51936621703,True
154,-0.002449999999999998,-15508.00421470196,True
155,-0.002465909090909089,-15362.48906318689,True
156,-0.0024818181818181797,-15216.973911671534,True
157,-0.0024977272727272704,-15071.458760156404,True
158,-0.002513636363636361,-14925.943608641548,True
159,-0.002529545454545452,-14780.42845712623,True
160,-0.0025454545454545426,-14634.9133056109,True
161,-0.0025613636363636333,-14489.398154096038,True
162,-0.002577272727272724,-14343.883002580877,True
163,-0.002593181818181815,-14198.367851065595,True
164,-0.0026090909090909055,-14052.852699550485,True
165,-0.0026249999999999963,-13907.337548035359,True
166,-0.002640909090909087,-13761.8223965201,True
167,-0.0026568181818181777,-13616.307245004926,True
168,-0.0026727272727272685,-13470.79209349005,True
169,-0.002688636363636359,-13325.276941974622,True
170,-0.00270454545454545,-13179.761790459432,True
171,-0.0027204545454545407,-13034.246638944533,True
172,-0.0027363636363636314,-12888.731487429332,True
173,-0.002752272727272722,-12743.216335914163,True
174,-0.002768181818181813,-12597.701184399011,True
175,-0.0027840909090909036,-12452.186032883817,True
176,-0.0027999999999999943,-12306.67088136867,True
