node_tag,level,UX,UY,UZ,RX,RY,RZ
1,base,1,1,1,1,1,1
3,base,1,1,1,1,1,1
5,base,1,1,1,1,1,1
7,base,1,1,1,1,1,1
9,base,1,1,1,1,1,1
11,base,1,1,1,1,1,1
13,base,1,1,1,1,1,1
15,base,1,1,1,1,1,1
50,base,1,1,1,1,1,1
52,base,1,1,1,1,1,1
54,base,1,1,1,1,1,1
56,base,1,1,1,1,1,1
60,base,1,1,1,1,1,1
62,base,1,1,1,1,1,1
64,base,1,1,1,1,1,1
66,base,1,1,1,1,1,1
68,base,1,1,1,1,1,1
70,base,1,1,1,1,1,1
72,base,1,1,1,1,1,1
74,base,1,1,1,1,1,1
76,base,1,1,1,1,1,1
78,base,1,1,1,1,1,1
80,base,1,1,1,1,1,1
82,base,1,1,1,1,1,1
84,base,1,1,1,1,1,1
86,base,1,1,1,1,1,1
226,base,1,1,1,1,1,1
228,base,1,1,1,1,1,1
230,base,1,1,1,1,1,1
232,base,1,1,1,1,1,1
234,base,1,1,1,1,1,1
236,base,1,1,1,1,1,1
238,base,1,1,1,1,1,1
240,base,1,1,1,1,1,1
242,base,1,1,1,1,1,1
244,base,1,1,1,1,1,1
246,base,1,1,1,1,1,1
248,base,1,1,1,1,1,1
250,base,1,1,1,1,1,1
252,base,1,1,1,1,1,1
254,base,1,1,1,1,1,1
256,base,1,1,1,1,1,1
258,base,1,1,1,1,1,1
260,base,1,1,1,1,1,1
262,base,1,1,1,1,1,1
264,base,1,1,1,1,1,1
349,base,1,1,1,1,1,1
351,base,1,1,1,1,1,1
353,base,1,1,1,1,1,1
355,base,1,1,1,1,1,1
357,base,1,1,1,1,1,1
359,base,1,1,1,1,1,1
361,base,1,1,1,1,1,1
363,base,1,1,1,1,1,1
365,base,1,1,1,1,1,1
367,base,1,1,1,1,1,1
369,base,1,1,1,1,1,1
371,base,1,1,1,1,1,1
373,base,1,1,1,1,1,1
375,base,1,1,1,1,1,1
377,base,1,1,1,1,1,1
379,base,1,1,1,1,1,1
381,base,1,1,1,1,1,1
383,base,1,1,1,1,1,1
385,base,1,1,1,1,1,1
387,base,1,1,1,1,1,1
389,base,1,1,1,1,1,1
391,base,1,1,1,1,1,1
393,base,1,1,1,1,1,1
395,base,1,1,1,1,1,1
397,base,1,1,1,1,1,1
399,base,1,1,1,1,1,1
401,base,1,1,1,1,1,1
403,base,1,1,1,1,1,1
405,base,1,1,1,1,1,1
407,base,1,1,1,1,1,1
409,base,1,1,1,1,1,1
411,base,1,1,1,1,1,1
413,base,1,1,1,1,1,1
415,base,1,1,1,1,1,1
417,base,1,1,1,1,1,1
419,base,1,1,1,1,1,1
421,base,1,1,1,1,1,1
423,base,1,1,1,1,1,1
425,base,1,1,1,1,1,1
427,base,1,1,1,1,1,1
429,base,1,1,1,1,1,1
431,base,1,1,1,1,1,1
433,base,1,1,1,1,1,1
435,base,1,1,1,1,1,1
437,base,1,1,1,1,1,1
439,base,1,1,1,1,1,1
441,base,1,1,1,1,1,1
443,base,1,1,1,1,1,1
445,base,1,1,1,1,1,1
447,base,1,1,1,1,1,1
449,base,1,1,1,1,1,1
451,base,1,1,1,1,1,1
453,base,1,1,1,1,1,1
455,base,1,1,1,1,1,1
457,base,1,1,1,1,1,1
459,base,1,1,1,1,1,1
461,base,1,1,1,1,1,1
463,base,1,1,1,1,1,1
465,base,1,1,1,1,1,1
467,base,1,1,1,1,1,1
