load_type,source,status,building,floor,beam_id,elementTag,area_m2,load_kN,member_category,member_id,load_id,source_value,source_unit,SI_value,SI_unit,geometry_type,annotation_anchor_sheet_xy
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-009,SOL_1_beam_0080,22.6185,140.8454,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-008,SOL_1_beam_0081,24.6069,153.2274,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-031,SOL_1_beam_0082,1.7399,10.8343,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-021,SOL_1_beam_0083,6.4624,40.2415,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-036,SOL_1_beam_0084,6.2139,38.6938,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-020,SOL_1_beam_0085,6.4624,40.2415,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-058,SOL_1_beam_0086,6.2139,38.6938,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-048,SOL_1_beam_0087,6.4624,40.2415,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-057,SOL_1_beam_0088,6.2139,38.6938,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-047,SOL_1_beam_0089,6.4624,40.2415,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-087,SOL_1_beam_0090,6.2139,38.6938,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-066,SOL_1_beam_0091,6.4624,40.2415,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-086,SOL_1_beam_0092,6.2139,38.6938,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-065,SOL_1_beam_0093,6.4624,40.2415,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-102,SOL_1_beam_0094,6.2139,38.6938,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-101,SOL_1_beam_0095,6.2139,38.6938,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-007,SOL_1_beam_0096,24.6069,153.2274,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-006,SOL_1_beam_0097,120.052,747.5639,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-035,SOL_1_beam_0098,6.2139,38.6938,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-019,SOL_1_beam_0099,6.4624,40.2415,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-028,SOL_1_beam_0100,114.3353,711.9657,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-056,SOL_1_beam_0101,6.2139,38.6938,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-046,SOL_1_beam_0102,6.4624,40.2415,,,,,,,,,
SURFACE,TRIBUTARY_AREA,APLICADO_P1L3,EDIFICIO_1,P1,E1-P1-V-052,SOL_1_beam_0103,98.4277,612.9096,,,,,,,,,
