node_tag,floor,coord_x_m,coord_y_m,coord_z_m,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
1,base,7.502,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,S1,7.502,0.001,3.96,0.009283027678,0.000253282709,2.7643751e-05,-0.00012705432,0.003425215784,-0.000332832212
3,base,17.502,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,S1,17.502,0.001,3.96,0.009115651482,-2.286834e-05,-2.5019948e-05,3.141322e-06,0.003263874753,-0.000327102027
5,base,17.502,8.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,S1,17.502,8.901,3.96,0.012096045792,-1.9110747e-05,9.6126575e-05,-1.6818489e-05,0.004985605947,-7.5193009e-05
7,base,7.502,8.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,S1,7.502,8.901,3.96,0.017049147684,0.000253684148,8.037311e-05,-9.7613684e-05,0.006702241222,-5.5001097e-05
9,base,0.002,8.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,S1,0.002,8.901,3.96,0.007564907663,-0.001386017831,-2.4170471e-05,0.00034383316,0.002951902124,0.00020908054
11,base,7.502,16.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,S1,7.502,16.151,3.96,0.009993454849,0.000248894229,8.2628258e-05,-7.5042293e-05,0.0035886899,0.000697186119
13,base,17.502,16.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,S1,17.502,16.151,3.96,0.00993999573,-1.4574417e-05,-5.0585249e-05,1.9721298e-05,0.003235926325,9.7158982e-05
15,base,27.471,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,S1,27.471,0.001,3.96,0.008682225859,1.820176e-05,-3.8504324e-05,-1.460669e-05,0.003555745592,0.000269776213
17,P1,7.502,0.001,7.92,0.02773450974,0.000794935659,5.2146919e-05,-0.000167166821,0.004559951646,-0.000773704019
18,P1,17.502,0.001,7.92,0.027405140472,-6.9421966e-05,-5.06362e-05,3.71976e-07,0.004507759559,-0.000706007757
19,P1,17.502,8.901,7.92,0.03955295322,-6.2976335e-05,0.000178757324,-1.0592992e-05,0.006156442869,-0.000204896289
20,P1,7.502,8.901,7.92,0.049683397153,0.000790061251,0.000143789564,-0.000137245008,0.008169060875,-7.4545234e-05
21,P1,0.002,8.901,7.92,0.022440645456,-0.003320953339,-4.7124752e-05,0.000300268736,0.003729446616,0.000468247924
22,P1,7.502,16.151,7.92,0.027006756376,0.000766741073,0.000135257641,-0.000114411254,0.003605785573,0.001631658015
23,P1,17.502,16.151,7.92,0.027056443729,-7.5113788e-05,-9.1684784e-05,6.36291e-07,0.003291941866,0.000198912492
24,P1,27.471,0.001,7.92,0.026190617795,7.4222065e-05,-6.2086331e-05,-6.407817e-06,0.004782996332,0.000400578392
