node_tag,floor,coord_x_m,coord_y_m,coord_z_m,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
1,base,7.502,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,S1,7.502,0.001,3.96,0.001253371298,0.00967737071,0.000224224857,-0.00329518779,0.000478615274,0.000510156911
3,base,17.502,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,S1,17.502,0.001,3.96,0.001497596799,0.008819263828,0.000216007469,-0.003084039828,0.000572164093,-0.000621500388
5,base,17.502,8.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,S1,17.502,8.901,3.96,0.00082378574,0.008849549117,8.9474982e-05,-0.002598990206,0.000310398417,-0.00021920398
7,base,7.502,8.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,S1,7.502,8.901,3.96,-0.000298730766,0.009724232651,5.1035864e-05,-0.0027742785,-0.000114490825,0.000410099339
9,base,0.002,8.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,S1,0.002,8.901,3.96,-0.001632468726,0.005314469764,3.3497025e-05,-0.001731380028,-0.000613508627,0.000520289549
11,base,7.502,16.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,S1,7.502,16.151,3.96,-0.002058817529,0.009685337274,-0.000281294824,-0.00324031282,-0.000725764194,0.000404187987
13,base,17.502,16.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,S1,17.502,16.151,3.96,-0.001887402867,0.008831354519,-0.000365788255,-0.003034598931,-0.000613395569,5.4126338e-05
15,base,27.471,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,S1,27.471,0.001,3.96,0.000995351574,0.008452500135,0.000101758815,-0.004038677226,0.000377658054,0.001603458418
17,P1,7.502,0.001,7.92,0.003291278149,0.025937432431,0.000394844163,-0.003631931602,0.000288070023,0.001120925483
18,P1,17.502,0.001,7.92,0.00403446035,0.024503056758,0.00038682708,-0.00367352696,0.000343691618,-0.00113433259
19,P1,17.502,8.901,7.92,0.001757342242,0.024532212626,0.000159697352,-0.003171186813,-8.8956787e-05,-0.000220201296
20,P1,7.502,8.901,7.92,-0.001028765505,0.025967768172,8.2562126e-05,-0.003140384061,-0.000213438526,0.000916850757
21,P1,0.002,8.901,7.92,-0.004750864759,0.014245488259,5.8325394e-05,-0.001930434769,-0.000767404129,0.001161945609
22,P1,7.502,16.151,7.92,-0.005603143649,0.025924796017,-0.000487587634,-0.003574973706,-0.000840124241,0.000889756018
23,P1,17.502,16.151,7.92,-0.005158633798,0.024530798867,-0.000670786676,-0.003628509242,-0.000546307696,0.000285783572
24,P1,27.471,0.001,7.92,0.002811021386,0.03072035304,0.000204249741,-0.007002369755,0.000570119287,0.003438642699
25,P2,7.502,0.001,11.88,0.003094902604,0.041492329018,0.000506643309,-0.003136762646,-0.000333908707,0.001748444159
26,P2,17.502,0.001,11.88,0.004023437314,0.040792634983,0.000500171206,-0.003387239544,-0.000393749363,-0.000553400013
27,P2,17.502,8.901,11.88,0.000241126685,0.040780208905,0.000203280256,-0.002926888892,-0.00066773344,0.000283550344
28,P2,7.502,8.901,11.88,-0.002243800141,0.041545893955,9.3220215e-05,-0.002707490842,-0.000343596835,0.0013853777
29,P2,0.002,8.901,11.88,-0.008048333783,0.022797110155,7.3884482e-05,-0.001647945503,-0.00071481952,0.001729112075
30,P2,7.502,16.151,11.88,-0.00897001387,0.041512571117,-0.000611109147,-0.003152223935,-0.000586183583,0.001364360869
31,P2,17.502,16.151,11.88,-0.008470788915,0.040794641318,-0.000884380673,-0.003394144528,-0.000272050561,0.000723266176
32,P2,27.471,0.001,11.88,0.003625422538,0.066296614656,0.000407780241,-0.010289313857,-0.001121765641,0.007967766764
33,P3,7.502,0.001,15.84,0.000776792032,0.054210498395,0.000570186365,-0.002525037294,-0.000401226474,0.002552485627
34,P3,17.502,0.001,15.84,0.001528300826,0.054525489013,0.000562326239,-0.002671048353,-0.000256757189,-0.000469968068
35,P3,17.502,8.901,15.84,-0.002882028729,0.054441169679,0.000217246742,-0.002368565363,-0.001042433337,0.000720136499
