node_tag,floor,coord_x_m,coord_y_m,coord_z_m,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
1,base,7.502,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,S1,7.502,0.001,3.96,-0.004161104124,-9.536238e-06,-6.624778e-05,9.19e-09,-0.001462076905,-0.000625023038
3,base,17.502,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,S1,17.502,0.001,3.96,-0.004079954628,-0.003358376686,-5.8026795e-05,0.001178339142,-0.001444564837,-8.2445175e-05
5,base,17.502,8.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,S1,17.502,8.901,3.96,-0.005712867271,-0.003374966239,-0.000170828533,0.001009097419,-0.00175806651,-0.000569076272
7,base,7.502,8.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,S1,7.502,8.901,3.96,0.005572195408,-6.317422e-06,7.403424e-06,-5.479716e-06,0.002195826401,-0.000619676245
9,base,0.002,8.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,S1,0.002,8.901,3.96,0.002245425915,0.00192030129,-0.000403989091,-0.000597438477,0.001279085644,-0.000405182628
11,base,7.502,16.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,S1,7.502,16.151,3.96,0.008743923948,-3.40697e-06,8.1356845e-05,2.8987798e-05,0.002986899236,-0.000282923407
13,base,17.502,16.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,S1,17.502,16.151,3.96,0.00867515423,-0.003363347507,-0.000110650283,0.001184780299,0.002801814576,-0.00125230555
15,base,27.471,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,S1,27.471,0.001,3.96,-0.003495538829,-0.006174522843,-0.000238188615,0.0029724135,-0.001300978017,-0.001385871792
17,P1,7.502,0.001,7.92,-0.009028094755,6.7003731e-05,-0.000107107897,-4.7656147e-05,-5.9888592e-05,-0.001425629732
18,P1,17.502,0.001,7.92,-0.009765845565,-0.009585577914,-9.6294509e-05,0.001519269978,-0.000287374285,-0.000659522179
19,P1,17.502,8.901,7.92,-0.006148230702,-0.009642084193,-0.000323595913,0.001305201211,0.003701810519,-0.001435491367
20,P1,7.502,8.901,7.92,0.017327990473,5.0953079e-05,2.2998851e-05,-3.5061907e-05,0.003067540935,-0.001447912354
21,P1,0.002,8.901,7.92,0.00879191532,0.004875566493,-0.000729856492,-0.000646343938,0.002115953554,-0.000837715081
22,P1,7.502,16.151,7.92,0.026972519827,4.0459803e-05,0.000160497531,-6.876453e-06,0.004617150696,-0.000780818487
23,P1,17.502,16.151,7.92,0.02671623094,-0.009626277062,-0.000241237725,0.001498754552,0.004886172333,-0.002587895519
24,P1,27.471,0.001,7.92,-0.009428351319,-0.022778685863,-0.00048179125,0.005277457482,-0.00163826829,-0.002817519389
25,P2,7.502,0.001,11.88,-0.000365337533,0.0004341277,-0.000124543849,-0.000143140253,0.004275516185,-0.001924799163
26,P2,17.502,0.001,11.88,-0.002216325308,-0.016323100753,-0.000107747395,0.001340728022,0.004893772243,-0.002903033284
27,P2,17.502,8.901,11.88,0.023654812805,-0.016385556541,-0.000433275602,0.001101022457,0.009281972801,-0.00299714388
28,P2,7.502,8.901,11.88,0.030942203722,0.000391665042,4.0070412e-05,-9.8672185e-05,0.003008870107,-0.002043574428
29,P2,0.002,8.901,11.88,0.018361836728,0.007625009907,-0.000978937156,-0.000539769879,0.002634907143,-0.000848519304
30,P2,7.502,16.151,11.88,0.051965159553,0.000375568618,0.000216871813,-0.000109106942,0.005889180717,-0.001583782095
31,P2,17.502,16.151,11.88,0.051503167642,-0.01638598337,-0.000355281924,0.001360803813,0.006640280394,-0.003210574038
32,P2,27.471,0.001,11.88,-0.007029652002,-0.04982828074,-0.000968650699,0.007793393236,0.006249667495,-0.006038079523
33,P3,7.502,0.001,15.84,0.025712194274,0.001166353732,-0.000135607427,-0.000259792279,0.004720580516,-0.001497219818
34,P3,17.502,0.001,15.84,0.02785454748,-0.021706286118,-0.000109922706,0.000935405065,0.004906258295,-0.003873318972
35,P3,17.502,8.901,15.84,0.062456576476,-0.021622459948,-0.000488005102,0.00087175139,0.01024282877,-0.003768381691
36,P3,7.502,8.901,15.84,0.041444155699,0.001142798757,5.2468464e-05,-0.000230754782,0.001526372466,-0.001798342663
37,P3,0.002,8.901,15.84,0.029267903276,0.009421404206,-0.001152991727,-0.000189035089,0.002680586696,-0.000451293609
38,P3,7.502,16.151,15.84,0.078468997115,0.001088391246,0.000234425791,-0.000102257239,0.00413336515,-0.002415724977
39,P3,17.502,16.151,15.84,0.08003341673,-0.021601084902,-0.000403061776,0.000871624238,0.006360234794,-0.00341238564
40,P3,27.471,0.001,15.84,0.032301867994,-0.081251484563,-0.001274442743,0.00760687351,0.014470430636,-0.009611066036
41,P4,7.502,0.001,19.8,0.038704215178,0.002465629635,-0.00014226328,-0.000283337866,0.001379446336,-0.001180029511
42,P4,17.502,0.001,19.8,0.040041317419,-0.025667240562,-0.000134345217,0.000848192934,0.00190980504,-0.005085365358
43,P4,17.502,8.901,19.8,0.10612591225,-0.02568603513,-0.000502745695,0.000525181599,0.010374929571,-0.004934130218
44,P4,7.502,8.901,19.8,0.043591169096,0.002473411914,6.2587923e-05,-0.000184741873,-0.000709311642,-0.000866875774
45,P4,0.002,8.901,19.8,0.039424981844,0.009529833398,-0.001247227158,-5.5729648e-05,0.002486870623,-0.000526260831
46,P4,7.502,16.151,19.8,0.044307570693,0.002480275389,9.92021e-05,2.406841e-05,-0.004420721268,-0.000422128909
47,P4,17.502,16.151,19.8,0.115680681329,-0.025721568885,-0.000356283361,6.1553877e-05,0.008499901152,-0.003882694744
49,P4,27.502,0.001,19.8,0.10225075525,-0.109314773515,-0.001926879587,0.006387218427,0.021013312532,-0.011502290916
50,base,37.491,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,S1,37.491,-0.0,3.96,-0.003128237403,-0.002201984641,7.75917e-07,0.001086872106,-0.001233447843,0.000413538227
52,base,37.491,16.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,S1,37.491,16.15,3.96,0.00938814414,-0.026619464247,-0.000249757519,0.013751386247,0.00403058788,-0.002157603879
54,base,37.491,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,S1,37.491,8.9,3.96,-0.003152654075,-0.023316267011,-0.000219729216,0.012382084714,-0.001172112165,-0.002510358911
56,base,27.516,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,S1,27.516,8.9,3.96,-0.002362560935,-0.000313226943,-2.1176882e-05,0.000288508151,-0.000981505048,-0.001606126757
60,base,27.516,16.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,S1,27.516,16.15,3.96,0.00920174682,-0.01041317581,-0.000122058922,0.00529888618,0.003870159073,-0.001296762218
62,base,47.491,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,S1,47.491,8.9,3.96,-0.002996029151,-0.032389399212,-0.000365104269,0.018328587297,-0.001154164618,-0.001976799515
