node_tag,floor,coord_x_m,coord_y_m,coord_z_m,ux_m,uy_m,uz_m,rx_rad,ry_rad,rz_rad
1,base,7.502,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,S1,7.502,0.001,3.96,-0.001638229966,-3.754423e-06,-2.6081799e-05,3.618e-09,-0.000575620822,-0.000246072061
3,base,17.502,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,S1,17.502,0.001,3.96,-0.001606281346,-0.001322195541,-2.2845195e-05,0.000463913047,-0.000568726312,-3.245873e-05
5,base,17.502,8.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,S1,17.502,8.901,3.96,-0.002249160332,-0.001328726861,-6.7255328e-05,0.000397282447,-0.000692152166,-0.000224045776
7,base,7.502,8.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,S1,7.502,8.901,3.96,0.002193777709,-2.487173e-06,2.914736e-06,-2.157369e-06,0.000864498583,-0.000243967025
9,base,0.002,8.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,S1,0.002,8.901,3.96,0.000884025947,0.000756024128,-0.000159050822,-0.000235211999,0.000503577025,-0.000159520719
11,base,7.502,16.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,S1,7.502,16.151,3.96,0.003442489735,-1.341326e-06,3.2030251e-05,1.1412518e-05,0.00117594457,-0.000111387168
13,base,17.502,16.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,S1,17.502,16.151,3.96,0.003415415042,-0.001324152557,-4.3563103e-05,0.000466448935,0.001103076601,-0.000493033679
15,base,27.471,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,S1,27.471,0.001,3.96,-0.001376196386,-0.002430914498,-9.3775045e-05,0.001170241532,-0.000512196068,-0.000545618814
17,P1,7.502,0.001,7.92,-0.003554368003,2.6379426e-05,-4.2168457e-05,-1.8762263e-05,-2.3578181e-05,-0.000561271547
18,P1,17.502,0.001,7.92,-0.003844821076,-0.00377384956,-3.7911224e-05,0.000598137785,-0.000113139482,-0.000259654401
19,P1,17.502,8.901,7.92,-0.00242056325,-0.003796096126,-0.000127399966,0.000513858743,0.001457405712,-0.00056515408
20,P1,7.502,8.901,7.92,0.006822043473,2.0060272e-05,9.054669e-06,-1.3803902e-05,0.001207693282,-0.000570044232
21,P1,0.002,8.901,7.92,0.003461383974,0.001919514366,-0.000287345073,-0.000254466118,0.000833052579,-0.000329809086
22,P1,7.502,16.151,7.92,0.01061910226,1.5929061e-05,6.3187999e-05,-2.707266e-06,0.001817775853,-0.000307408852
23,P1,17.502,16.151,7.92,0.010518201123,-0.003789872847,-9.4975481e-05,0.000590060845,0.001923689889,-0.0010188565
24,P1,27.471,0.001,7.92,-0.003711949326,-0.008967986534,-0.000189681594,0.00207773916,-0.000644987514,-0.001109259599
25,P2,7.502,0.001,11.88,-0.00014383367,0.000170916427,-4.9033003e-05,-5.6354431e-05,0.001683274089,-0.000757794944
26,P2,17.502,0.001,11.88,-0.000872569013,-0.006426417599,-4.2420235e-05,0.000527845676,0.001926681981,-0.001142926487
27,P2,17.502,8.901,11.88,0.009312918404,-0.006451006492,-0.000170580946,0.000433473407,0.003654319987,-0.001179977902
28,P2,7.502,8.901,11.88,0.012181969945,0.000154198844,1.5775757e-05,-3.8847319e-05,0.001184594533,-0.000804556859
29,P2,0.002,8.901,11.88,0.007229069559,0.003001972405,-0.000385408326,-0.000212507828,0.001037365016,-0.000334062717
30,P2,7.502,16.151,11.88,0.02045872417,0.00014786167,8.5382597e-05,-4.295549e-05,0.002318575072,-0.000623536255
31,P2,17.502,16.151,11.88,0.020276837591,-0.006451174534,-0.000139874772,0.000535749531,0.002614283609,-0.001264005523
32,P2,27.471,0.001,11.88,-0.002767579518,-0.0196174333,-0.000381358541,0.003068265043,0.002460499007,-0.002377196653
33,P3,7.502,0.001,15.84,0.010122911118,0.000459194397,-5.3388741e-05,-0.000102280426,0.001858496269,-0.000589456621
34,P3,17.502,0.001,15.84,0.010966357259,-0.00854578191,-4.3276656e-05,0.000368269709,0.001931597752,-0.001524928724
35,P3,17.502,8.901,15.84,0.024589203249,-0.008512779481,-0.000192127993,0.000343209208,0.004032609735,-0.001483614835
36,P3,7.502,8.901,15.84,0.016316596723,0.000449920785,2.065688e-05,-9.0848341e-05,0.000600934051,-0.00070800892
37,P3,0.002,8.901,15.84,0.011522796541,0.003709214258,-0.000453933747,-7.4423264e-05,0.001055349093,-0.000177674648
38,P3,7.502,16.151,15.84,0.030893305833,0.000428500505,9.2293611e-05,-4.0258757e-05,0.00162730909,-0.000951072821
39,P3,17.502,16.151,15.84,0.031509219069,-0.008504364108,-0.000158685737,0.000343159148,0.002504029435,-0.00134345891
40,P3,27.471,0.001,15.84,0.01271727084,-0.031988773344,-0.000501749109,0.00299483208,0.00569701992,-0.00378388425
41,P4,7.502,0.001,19.8,0.015237879982,0.000970720345,-5.6009155e-05,-0.000111550341,0.000543089112,-0.000464578549
42,P4,17.502,0.001,19.8,0.015764298184,-0.010105212789,-5.2891818e-05,0.000333934225,0.00075189175,-0.002002112337
43,P4,17.502,8.901,19.8,0.041781855054,-0.010112612225,-0.000197931376,0.000206764408,0.004084617925,-0.001942570947
44,P4,7.502,8.901,19.8,0.017161877633,0.000973784235,2.464092e-05,-7.2733022e-05,-0.000279256536,-0.000341289674
45,P4,0.002,8.901,19.8,0.01552164637,0.003751902894,-0.00049103431,-2.1940793e-05,0.000979082923,-0.000207189301
46,P4,7.502,16.151,19.8,0.017443925409,0.00097648639,3.9055939e-05,9.475749e-06,-0.001740441428,-0.000166192471
47,P4,17.502,16.151,19.8,0.045543575177,-0.010126601892,-0.000140269039,2.423381e-05,0.00334641776,-0.001528619976
49,P4,27.502,0.001,19.8,0.040256202751,-0.043037312264,-0.000758614008,0.002514652915,0.008272957663,-0.004528460972
50,base,37.491,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,S1,37.491,-0.0,3.96,-0.001231589523,-0.000866923136,3.05478e-07,0.00042790243,-0.000485609384,0.000162810323
52,base,37.491,16.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,S1,37.491,16.15,3.96,0.003696119726,-0.010480103983,-9.8329731e-05,0.005413931567,0.001586845616,-0.000849450342
54,base,37.491,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,S1,37.491,8.9,3.96,-0.001241202386,-0.009179632633,-8.6507565e-05,0.004874836477,-0.00046146148,-0.000988330276
