point_id,P_kN,compression_magnitude_kN,M_kNm,curvature_at_M_1_per_m,converged_steps,requested_steps,valid,status
P0.00,-0.0,0.0,13148.973613100112,0.003405694236114132,260,260,True,PASS
P0.03,-1483.9879830728062,1483.9879830728062,16378.954941988912,0.0025395061066978207,260,260,True,PASS
P0.06,-2967.9759661456123,2967.9759661456123,19337.93523892652,0.0021457842296904064,260,260,True,PASS
P0.10,-4946.626610242688,4946.626610242688,22845.13649445657,0.0017323762588326217,260,260,True,PASS
P0.15,-7419.939915364031,7419.939915364031,26531.697527749082,0.0013583404756755781,260,260,True,PASS
P0.20,-9893.253220485376,9893.253220485376,29449.691761809787,0.0011221073494711296,260,260,True,PASS
P0.30,-14839.879830728061,14839.879830728061,32943.2321475423,0.0008465020355659398,260,260,True,PASS
P0.40,-19786.506440970752,19786.506440970752,33617.06762007692,0.0006496410970622329,98,260,False,INVALID_PARTIAL_FAIL_STEP_99
P0.50,-24733.133051213437,24733.133051213437,32461.567392152352,0.0005118384401096378,52,260,False,INVALID_PARTIAL_FAIL_STEP_53
P0.60,-29679.759661456123,29679.759661456123,29052.97334917599,0.0004134079708577836,35,260,False,INVALID_PARTIAL_FAIL_STEP_36
P0.70,-34626.38627169881,34626.38627169881,22917.9277725207,0.0003346635954563025,26,260,False,INVALID_PARTIAL_FAIL_STEP_27
P0.80,-39573.012881941504,39573.012881941504,15477.71753366558,0.00025591922005481846,19,260,False,INVALID_PARTIAL_FAIL_STEP_20
P0.90,-44519.639492184186,44519.639492184186,7846.329803378386,0.0001574887508029666,11,260,False,INVALID_PARTIAL_FAIL_STEP_12
PureCompression,-49466.266102426875,49466.266102426875,0.0,0.0,0,0,True,AXIAL_ONLY_PASS
