slab_id,floor,floor_id,slab_number,cad_label,center_x,center_y,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area_m2,effective_area_m2,receiver_beam_ids,opening_ids,thickness_cm,thickness_status,load_type_id,load_status,status,collapsed_bay,member_slab_ids,notes
E1_F01_L100,1,1,100,CAD_1_slab_label_0254,38.694,17.699,37.64997300186819,40.00002726889397,16.620136558017784,18.862410962594332,5.269,5.269,E1_F01_B0058;E1_F01_B0059;E1_F01_B0061,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,
E1_F01_L101,1,1,101,CAD_1_slab_label_0255,36.842,22.283,,,,,0.0,0.0,,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,SIN poligono: borde diagonal de cubierta (ver imagen L101 annotation).
E1_F01_L102,1,1,102,CAD_1_slab_label_0256,13.787,17.939,10.000027268910799,17.490027268916155,16.15013655801746,20.27013655807317,30.859,30.859,E1_F01_B0044;E1_F01_B0056;E1_F01_B0063;E1_F01_B0064,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,
E1_F01_L103,1,1,103,CAD_1_slab_label_0257,37.494,11.527,35.00002726883262,40.00002726889416,8.899969902690422,16.150136558017536,36.251,36.251,E1_F01_B0032;E1_F01_B0038;E1_F01_B0048;E1_F01_B0050,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,
E1_F01_L104,1,1,104,CAD_1_slab_label_0258,32.416,11.527,30.00002726896225,35.00002726883262,8.899969902690406,16.150136558017522,36.251,36.251,E1_F01_B0031;E1_F01_B0042;E1_F01_B0048;E1_F01_B0049,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,
E1_F01_L105,1,1,105,CAD_1_slab_label_0259,27.554,11.527,25.000027268900936,30.00002726896225,8.89996990269039,16.14996990275373,36.25,36.25,E1_F01_B0030;E1_F01_B0042;E1_F01_B0047;E1_F01_B0054,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,
E1_F01_L106,1,1,106,CAD_1_slab_label_0260,22.323,11.527,20.000027269033477,25.000027268900936,8.899969902690374,16.15013655801749,36.251,36.251,E1_F01_B0029;E1_F01_B0041;E1_F01_B0046;E1_F01_B0047,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,
E1_F01_L107,1,1,107,CAD_1_slab_label_0261,18.728,11.527,17.490027268916155,20.000027269033477,9.199969902690366,16.14996990275369,17.445,17.445,E1_F01_B0035;E1_F01_B0036;E1_F01_B0041;E1_F01_B0053,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,
E1_F01_L108,1,1,108,CAD_1_slab_label_0262,12.185,11.527,10.000027268910813,15.000027268972147,8.899969902690342,16.15013655801746,36.251,36.251,E1_F01_B0028;E1_F01_B0040;E1_F01_B0044;E1_F01_B0045,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,
E1_F01_L109,1,1,109,CAD_1_slab_label_0263,37.494,4.529,35.00002726883263,40.000027268894286,-3.0097328733676483e-05,8.899969902690422,44.5,44.5,E1_F01_B0012;E1_F01_B0015;E1_F01_B0025;E1_F01_B0032,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,
E1_F01_L110,1,1,110,CAD_1_slab_label_0264,32.416,4.529,30.000027268962278,35.00002726883263,-3.0097328748266253e-05,8.899969902690406,44.5,44.5,E1_F01_B0011;E1_F01_B0020;E1_F01_B0025;E1_F01_B0031,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,
E1_F01_L111,1,1,111,CAD_1_slab_label_0265,27.554,4.529,25.000027268900965,30.000027268962278,0.29996990267056434,8.89996990269039,43.0,43.0,E1_F01_B0010;E1_F01_B0020;E1_F01_B0026;E1_F01_B0030,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,
E1_F01_L112,1,1,112,CAD_1_slab_label_0266,22.323,4.529,20.000027269033485,25.000027268900965,0.2999699026705498,8.899969902690374,43.0,43.0,E1_F01_B0009;E1_F01_B0018;E1_F01_B0026;E1_F01_B0029,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,
E1_F01_L113,1,1,113,CAD_1_slab_label_0267,17.461,4.529,15.000027268972172,20.000027269033485,0.2999699026705349,8.89996990269103,43.0,43.0,E1_F01_B0008;E1_F01_B0018;E1_F01_B0023;E1_F01_B0024,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,
E1_F01_L114,1,1,114,CAD_1_slab_label_0268,12.185,4.529,10.000027268910832,15.000027268972172,0.2999699026705204,8.899969902690342,43.0,43.0,E1_F01_B0007;E1_F01_B0019;E1_F01_B0023;E1_F01_B0028,,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,PENDIENTE_CONFIRMAR,,,
E1_F01_L115,1,1,115,CAD_1_slab_label_0269,8.174,11.317,2.7268939986164288e-05,10.000027268910813,8.89996990269032,16.14996990275363,72.5,71.178,E1_F01_B0027;E1_F01_B0037;E1_F01_B0040;E1_F01_B0051,E1_F01_OP01,0,PENDIENTE_CONFIRMAR,,PENDIENTE_CONFIRMAR,RESUELTO,E1_F01_L115,E1_F01_L115;E1_F01_L116,Esta observacion quedo condensada en la bahia colapsada.
